实拍西上海名邸大两房，满五年唯一，对口同济名校，看房方便急售,230万,26136元/m²,2室2厅,88m²,中层(共12层),王洋,安亭名邸       嘉定-安亭-南安路88弄,近地铁,新房房源,配套成熟
上师大附小，二次装修带空调，满两年，目前自住，接受置换,355万,41193元/m²,2室1厅,86m²,高层(共14层),方笑银,祥源福邸       嘉定-南翔-金通路1788弄,主卧朝南,客厅朝南,小户型
业主为了卖房专门空置了房子，非常诚意出售，房能看中价格都好谈,315万,40877元/m²,2室1厅,77m²,中层(共15层),黄虎,绿地新江桥城(南区)       嘉定-江桥-金耀南路80弄,近地铁,次新小区,素质住户
菊园新区实验校区房 交通便利生活配套完善 看房方便价格可谈,245万,26683元/m²,3室2厅,91m²,低层(共15层),付小平,旭辉锦庭(东区)       嘉定-菊园新区-双坪路200弄,素质住户,安全性高,品质小区
民东公寓地铁站旁三房两厅两卫南翔官邸，低于市场价南北通透,380万,32495元/m²,3室2厅,116m²,高层(共6层),孙磊,"民东公寓       嘉定-南翔-民主东街151弄,民主东街27弄,民主东街62弄,古猗园路350弄,民主东街87弄,民主东街16弄",近地铁,交通便利,繁华地段
"地铁11号线，租金3000，周边配套齐全,首付可全贷款 急售",110万,19643元/m²,2室2厅,56m²,高层(共17层),李野,中茂世纪       嘉定-嘉定北-汇源路218弄
小区门口位置地铁600米前排可观公园只要一套精装修,228万,44855元/m²,1室2厅,50m²,中层(共13层),王玉涛,水岸金桥苑       嘉定-江桥-鹤霞路555弄,近地铁,繁华地段,品质小区
金典三房，近万达广场商业圈，华泰商业中心，绿地商业街房东急售,340万,37203元/m²,3室1厅,91m²,高层(共15层),黄虎,绿地新江桥城(南区)       嘉定-江桥-金耀南路80弄,近地铁,素质住户,安全性高
太屋臻选！地铁口三房，附送9平方产权清晰，满5唯1个税0!急,388万,43748元/m²,3室2厅,88m²,低层(共18层),谭书均,格林公馆       嘉定-南翔新城-芳林路951弄,近地铁,配套成熟,繁华地段
直降50万~森林公馆满五年两房~业主诚意出售~赠送产权车位,305万,34718元/m²,2室2厅,87m²,中层(共21层),顾德振,森林公馆(西区)       嘉定-南翔新城-栖林路425弄,近地铁,配套成熟,品质小区
通煤气~11号线地铁口精装复式！层高5米买壹送壹！使用面积大,120万,21818元/m²,2室2厅,55m²,中层(共12层),王洋,晶鼎大厦       嘉定-嘉定新城-白银路399号,新房房源,近地铁,配套成熟
总价500万精装三房，南北通户型，高区景光楼层，视野佳,500万,41377元/m²,3室2厅,120m²,高层(共18层),张雨,同济融景雅苑       嘉定-南翔-金通路1968弄,近地铁,新房房源,配套成熟
高区沿河景观房，眺望江桥，南北通透两房，电梯房高区，看房来电,269万,34827元/m²,2室2厅,77m²,高层(共18层),周士琦,金沙鼎苑       嘉定-江桥-金耀路555弄,环境优美,次新小区,安全性高
看房随时 新上房源 真实在售 多层中层 满五唯一 无税,205万,43423元/m²,1室1厅,47m²,中层(共6层),杨超凡,"丰庄十二街坊       嘉定-丰庄-丰庄北路166弄,丰庄西路558弄,丰庄北路82弄",近地铁,配套成熟,品质小区
紧靠13号线丰庄站 全明一房 生活配套齐全 看房有钥匙,205万,43423元/m²,1室1厅,47m²,中层(共6层),薛小龙,"丰庄十二街坊       嘉定-丰庄-丰庄北路166弄,丰庄西路558弄,丰庄北路82弄",近地铁,配套成熟,繁华地段
菊园新区实验学 精装南北三房送40平大花园 看房随时方便,250万,27233元/m²,3室2厅,91m²,低层(共15层),张志鹏,旭辉锦庭(东区)       嘉定-菊园新区-双坪路200弄,新房房源,南北通透,次新小区
双南大两房 南北通透 室内干净敞亮 买到赚到,435万,43948元/m²,2室2厅,98m²,共5层,周炜,嘉泰花园公寓       嘉定-丰庄-梅川路1725弄1-52号,近地铁
地铁10番钟，旭辉U天地，精装复式LOFT，送家具家电拎包入,120万,24737元/m²,2室2厅,48m²,低层(共12层),石晨,旭辉U天地       嘉定-南翔新城-宝翔路158弄,近地铁,主卧朝南,配套成熟
投 兹自住醉佳产品丨面积小 总价低 稳增长丨不限购 精装修,95万,16964元/m²,2室1厅,56m²,中层(共22层),江燕,"泰东公寓       嘉定-方泰-东环路279弄,东环路129弄",新房房源,客厅朝南,素质住户
小区，一梯两户，南北通东边套户型，豪华装修，地铁口好房,225万,42080元/m²,1室1厅,53m²,高层(共6层),洪广柱,"真新新村嘉德坊       嘉定-丰庄-铜川路2225弄,万镇路1177弄",小户型,一梯两户,小区中心
小区中间位置 双南两房 带空调 房东自己住 随时看房价可谈,210万,24697元/m²,2室2厅,85m²,中层(共16层),王东梅,天居玲珑湾(公寓)       嘉定-嘉定北-汇旺东路1188弄,新房房源
实图拍摄，有需要南北通透户型的可以来看看，性价比很高。,300万,33333元/m²,2室2厅,90m²,中层(共6层),王世界,"江桥三村四街坊       嘉定-江桥-靖远路510弄,临潭路518弄",交通便利,繁华地段,品质小区
二期大两房 送30万北欧家具 小区中心位置 满两年保养如新,398万,46544元/m²,2室2厅,85m²,高层(共18层),谭书均,华润中央公园(二期)       嘉定-南翔新城-陈翔公路1588弄,配套成熟,繁华地段,品质小区
独栋前后大花园 带地下室多车位 城市 居住成功人士梦想所在地,1182万,37170元/m²,6室4厅,318m²,共3层,唐宗楠,皇府别墅       嘉定-江桥-曹安公路2795号,新房房源,南北通透,远离马路
"天居玲珑湾,楼层位置好南北通透,采光好,视野好",225万,24750元/m²,2室2厅,90m²,高层(共16层),张志鹏,天居玲珑湾(公寓)       嘉定-嘉定北-汇旺东路1188弄,新房房源,南北通透,近地铁
直达市区 11号线地铁口 国企品质大开发商 特对外卖,335万,34138元/m²,3室2厅,98m²,高层(共11层),张志鹏,嘉宝梦之湾(公寓)       嘉定-菊园新区-平城路2055弄,近地铁,新房房源,南北通透
格林公馆边套小三房，有个小房间不计面积，精装送家具，到价签字,398万,43540元/m²,3室2厅,91m²,中层(共18层),孙磊,格林公馆       嘉定-南翔新城-芳林路951弄,近地铁
14号线地铁口500米，次新小区，电梯房中间楼层，看房有钥匙,266万,32439元/m²,2室2厅,82m²,中层(共18层),唐宗楠,天禧嘉苑(北区)       嘉定-江桥-嘉峪关路600弄
"精装修，大两房，单价低，房东置换，面税房源,随时可以看急售",268万,29130元/m²,2室2厅,92m²,中层(共15层),唐宗楠,爱德佳苑(一期)       嘉定-江桥-爱特路185弄,近地铁,近学校
澜茵华庭电梯5楼，大两房南北通，13号金运路地铁口，靠万达,255万,31875元/m²,2室2厅,80m²,中层(共13层),唐宗楠,澜茵华庭(西区)       嘉定-江桥-金园一路1518弄,近地铁,交通便利,繁华地段
对口南翔小学，南北通透户型方正，得房率高先到先得诚意卖,235万,32639元/m²,2室1厅,72m²,低层(共6层),孙磊,德华一村       嘉定-南翔-德华路316弄,近地铁,近学校
对口卢湾实验小学！动迁无税，房东置换急售！景观楼层随时看房！,295万,33511元/m²,2室2厅,88m²,中层(共18层),唐宗楠,中星海上名豪苑水岸丽苑       嘉定-江桥-海波路1000弄,近地铁,安全性高,低密度
紧邻地铁口，近万达广场，商圈成熟，交通便利，小区中心位置,285万,35426元/m²,2室2厅,80m²,高层(共6层),袁南贵,澜茵华庭(东区)       嘉定-江桥-金园一路1519弄1-123号,近地铁
远香舫 临街远香湖 精装南北通大三房 新城核心位置 一手动迁,300万,31847元/m²,3室2厅,94m²,高层(共18层),赵铭坤,远香舫嘉苑       嘉定-嘉定新城-城固路55弄,配套成熟,交通便利,品质小区
卢尔公寓 近11号地铁满五年 送车位 位置好 采光好 景观房,540万,42871元/m²,3室2厅,125m²,高层(共18层),孙磊,卢尔公寓       嘉定-南翔新城-芳林路333弄,新房房源,近地铁,环境优美
14号线300米，精装修大一房，可改两房,175万,34510元/m²,1室1厅,50m²,中层(共6层),钟丽,江桥二村三街坊       嘉定-江桥-曲江路99弄1-68号,近地铁,配套成熟,繁华地段
南翔湖畔天下4.2万性价比之高  超长付钱周期 置换着福音,450万,38136元/m²,3室2厅,118m²,低层(共21层),李金,"湖畔天下(公寓)       嘉定-南翔新城-瑞林路800弄,瑞林路1280弄"
精装修小三房，带车位，业主自住,400万,44823元/m²,3室2厅,89m²,中层(共18层),方笑银,中建溪岸澜庭       嘉定-南翔-德园路1259弄
挑高4.5米 11号线600米 复式精装修 无税 看房随时,85万,19318元/m²,2室2厅,44m²,高层(共11层),王康,魔方社区       嘉定-嘉定老城-民悦街11弄,近地铁,新房房源,繁华地段
得房率高，实景拍摄，前后无遮挡，南北通透，带20平花园,360万,40377元/m²,3室2厅,89m²,低层(共18层),方笑银,中建溪岸澜庭       嘉定-南翔-德园路1259弄
水岸丽苑 货币动迁房 上卢湾中心小学 近地铁,358万,39207元/m²,2室2厅,91m²,高层(共11层),邱宁,中星海上名豪苑水岸丽苑       嘉定-江桥-海波路1000弄,采光好,近地铁,配套成熟
新出笋盘，高区，豪华装修30万，房型稍有改动，由此变成全明。,281万,36974元/m²,2室2厅,76m²,高层(共15层),唐宗楠,绿地新江桥城(南区)       嘉定-江桥-金耀南路80弄,近地铁
满五年唯一2013年次新房 品质小区 电梯高层  采光充足,281万,35796元/m²,2室2厅,78m²,高层(共14层),唐宗楠,汇丰沁苑(北区)       嘉定-江桥-临夏路800弄,新房房源,南北通透,位置安静
满五少税 上海70年产权 周边配套成熟 可落户上学 房东急售,90万,18000元/m²,1室1厅,50m²,中层(共9层),刘安猛,嘉定河东小区       嘉定-封浜-吴杨路100弄,新房房源,近地铁,繁华地段
